1345,감사의 기도,오늘 하루도 살아있음에,
1346,이제,그 길 멀고 긴 방황의,
1347,나의 삶으로 드리는 찬양,하나님이 가장 기뻐하는,
1348,나,나 가진 재물 없으나,
1349,알았네,알았네 나는 알았네,
1350,내 안에 있는 예수,내 안에 있는 예수,
1351,하나님은 사랑이요,하나님은 사랑이요 (재편곡),
1352,기다림 (Waiting),나 알 수 없네 주님이,
1353,사랑은 더 가지지 않는 것,사랑은 참으로 버리는 것,
1354,기쁨 소망 주소서,내 평생에 근심 걱정,
1355,오 주여 나의 마음이,오 주여 나의 마음이,
1356,구하라 주실 것이요,나의 하나님이 그리스도,
1357,주님의 선물,그대는 주님 보내신,
1358,주님 내 안에,언제나 내 모습 너무나,
1359,주님 당신으로 만족해요,주님 당신 없인 난 살수가,
1360,우리의 죄를 용서하여 주소서,우리의 사랑 미움만 있고,
1361,십자가 (전종혁),갈보리 십자가 그 안에,
1362,감당할 수 없는 그 사랑,하나님 크신 사랑은,
1363,여호와 나의 목자,여호와 나의 목자,
1364,주를 사랑하는가,손에 있는 부귀보다,
1365,아버지는 나의 최고,아버지는 나의 최고,
1366,계신 주님,나의 앞에 계신 주님,
1367,주님과 함께 가면,주님과 함께 가면,
1368,동참,너 고통 당할 때,
1369,그의 길을 따르며,오 예수님 오신 그 의미를,
1370,하나님은 실수하지 않으신다네,내가 걷는 이 길이,
1371,이삭의 축복 (김동국),내 아들의 향취는,
1372,예수님의 눈물,하나님이 이 세상을,
1373,예수를 깊이 생각하라,너 주님을 생각하라,
1374,그 날,사망의 그늘에 앉아,
1375,내 손 잡아 주셨네,샘물처럼 넘쳐 흐르는,
1376,주님 도와주소서,나의 맘에 나의 맘에,
1377,주여,주여 나의 삶이,
1378,하나님 계획은,하나님 계획은 오묘하셔서,
1379,예수는 나의 기쁨,예수는 나의 기쁨,
1380,손을 높이 들고,손을 높이 들고 주를,
1381,온전케 되리,주 앞에 나와 제사를 드리네,
1382,우리 우리 주님은,우리 우리 주님은,
1383,날 사랑하신,날 사랑하신 주님의,
1384,할 수 있다 하신 이는,할 수 있다 하신 이는,
1385,오늘,오늘 내가 미워한 사람이,
1386,이런 믿음은 안돼,예배시간에 꼭 오분씩,
1387,기대,주 안에 우린 하나,
1388,큰 영광 중에 계신 주,큰 영광 중에 계신 주,
1389,주님의 증인,우리는 모두 다 주님의,
1390,어머니의 성경책,어느 길가에 서있는,
1391,성령의 바람이 불어,성령의 바람이 불어,
1392,우리 함께 모여,우리 함께 모여 주의,
1393,주 앞에,주 앞에 겸손히 나 서있네,
1394,주님 사랑 온누리에,주님의 사랑이 이곳에,
1395,금이냐 은이냐,금이냐 은이냐,
1396,주여 나에게,주여 나에게 세상은 넓어요,
1397,예수 이름으로,예수 이름으로,
1398,나를 향한 주님의 사랑,이 세상 무엇과도 (김동국),
1399,나를 사랑하는 자들이,나를 사랑하는 자들이,
1400,축하해요,하나님의 큰 사랑이,
1401,사명자의 고백,주를 위해서라면,
1402,오 예수님,오 예수님 내가옵니다,
1403,결코 포기하지 않으리,결코 포기하지 않으리,
1404,여호와는 나의 목자 (김영기),여호와는 나의 목자,
1405,할렐루야 그 성소에서,할렐루야 그 성소에서,
1406,크신 주께 영광 돌리세,크신 주께 영광 돌리세,
1407,어디서 들리는가,어디서 들리는가 주의,
1408,탕자의 눈물,가시관을 쓰신 예수,
1409,가장 소중한 주님,나와 함께하시는 가장,
1410,주님 한 분만으로,주님 한 분만으로,
1411,예수가 좋다오,많은 사람들 참된 진리를,
1412,나의 남은 생애는,나의 남은 생애는,
1413,주님은 너를 사랑해,주님은 너를 사랑해,
1414,하늘 나라 영광나라,이 세상을 산다며는,
1415,사랑의 나눔 있는 곳,사랑의 나눔 있는 곳에,
1416,사랑하고 살아도,사랑하고 살아도 모자란,
1417,하나님 아버지께,하나님 아버지께 감사하세,
1418,내가 너를 지명하였고,내가 너를 지명하였고,
1419,은총 (결혼축가),살 중의 살이요 뼈 중의,
1420,아침 안개 눈 앞 가리듯,아침 안개 눈앞 가리듯,
1421,오 주여 회복하소서,오 주여 회복하소서,
1422,주님의 손,주님의 손 연약한,
1423,내가 살아야 할 이유,내가 살아야할 이유는,
1424,나는 너의 하나님이라,한치 앞도 볼 수 없는,
1425,하나님을 위하여,나에게 건강 있는 것,
1426,형제의 모습 속에,형제의 모습 속에,
1427,이 몸을 받아주소서,사랑하시는 나의 예수님,
1428,누구도 모르는 너의 고통을,누구도 모르는 너의 고통을,
1429,주의 놀라운 사랑을,주의 놀라운 사랑을,
1430,달리다굼,캄캄한 인생길 홀로,
